category_class	count_descendants
MONDO:0958128	0
MONDO:0958127	0
MONDO:0958123	0
MONDO:0958122	0
MONDO:0958120	0
MONDO:0958119	0
MONDO:0958118	0
MONDO:0958117	0
MONDO:0958116	0
MONDO:0958115	0
MONDO:0958110	1
MONDO:0958106	0
MONDO:0958104	0
MONDO:0958101	0
MONDO:0958099	0
MONDO:0958098	0
MONDO:0958097	0
MONDO:0958096	0
MONDO:0958095	0
MONDO:0958094	0
MONDO:0958093	0
MONDO:0958091	1
MONDO:0958085	0
MONDO:0958083	0
MONDO:0958077	1
MONDO:0958076	2
MONDO:0958075	0
MONDO:0958071	0
MONDO:0958037	0
MONDO:0958035	0
MONDO:0958034	0
MONDO:0958030	0
MONDO:0958023	0
MONDO:0958022	0
MONDO:0958018	0
MONDO:0958017	0
MONDO:0958013	0
MONDO:0958012	0
MONDO:0958011	0
MONDO:0958009	0
MONDO:0958006	0
MONDO:0958005	0
MONDO:0958001	0
MONDO:0958000	0
MONDO:0957999	0
MONDO:0957997	0
MONDO:0957993	0
MONDO:0957992	0
MONDO:0957991	0
MONDO:0957990	0
MONDO:0957988	0
MONDO:0957985	0
MONDO:0957984	0
MONDO:0957981	0
MONDO:0957978	0
MONDO:0957961	0
MONDO:0957960	0
MONDO:0957958	0
MONDO:0957955	0
MONDO:0957954	0
MONDO:0957953	0
MONDO:0957935	0
MONDO:0957928	0
MONDO:0957922	0
MONDO:0957921	0
MONDO:0957920	0
MONDO:0957919	0
MONDO:0957912	0
MONDO:0957896	0
MONDO:0957876	0
MONDO:0957875	0
MONDO:0957874	0
MONDO:0957873	0
MONDO:0957872	0
MONDO:0957871	0
MONDO:0957870	0
MONDO:0957832	0
MONDO:0957825	0
MONDO:0957824	0
MONDO:0957822	0
MONDO:0957821	0
MONDO:0957820	0
MONDO:0957819	0
MONDO:0957815	0
MONDO:0957813	0
MONDO:0957812	0
MONDO:0957811	0
MONDO:0957810	0
MONDO:0957809	0
MONDO:0957807	0
MONDO:0957795	0
MONDO:0957791	0
MONDO:0957790	0
MONDO:0957788	0
MONDO:0957787	0
MONDO:0957786	0
MONDO:0957783	0
MONDO:0957780	0
MONDO:0957779	0
MONDO:0957599	3
MONDO:0957595	0
MONDO:0957594	0
MONDO:0957593	0
MONDO:0957588	0
MONDO:0957584	0
MONDO:0957583	0
MONDO:0957580	0
MONDO:0957578	0
MONDO:0957577	0
MONDO:0957576	0
MONDO:0957575	0
MONDO:0957572	0
MONDO:0957564	0
MONDO:0957563	0
MONDO:0957561	0
MONDO:0957560	0
MONDO:0957556	0
MONDO:0957553	3
MONDO:0957545	0
MONDO:0957544	0
MONDO:0957543	0
MONDO:0957542	0
MONDO:0957541	0
